Country_Region,2022/02/01,2022/02/02,2022/02/03,2022/02/04,2022/02/05,2022/02/06,2022/02/07,2022/02/08,2022/02/09,2022/02/10,2022/02/11,2022/02/12,2022/02/13,2022/02/14,2022/02/15,2022/02/16,2022/02/17,2022/02/18,2022/02/19,2022/02/20,2022/02/21,2022/02/22,2022/02/23,2022/02/24,2022/02/25,2022/02/26,2022/02/27,2022/02/28
Sri Lanka,612322,613478,614659,615902,617189,618520,620732,621985,623248,624545,625804,626966,628116,629347,630599,631816,633051,634333,635606,636837,638043,639297,640578,641786,643072,644060,645037,646034
Sudan,58208,58623,58874,58874,58874,58874,59194,59294,59345,59455,59525,59631,59631,59903,59903,59939,59939,59939,59939,59939,61223,61251,61350,61376,61376,61376,61376,61458
Summer Olympics 2020,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
Suriname,73956,74470,74858,75252,75402,75531,75889,76239,76498,76703,76876,76975,77036,77203,77334,77450,77549,77634,77686,77716,77810,77880,77935,78016,78070,78092,78123,78216
Sweden,2183910,2223115,2259656,2287785,2287785,2287785,2287785,2354455,2372637,2389605,2397330,2397330,2397330,2397330,2409081,2414463,2418560,2422856,2422856,2422856,2422856,2431365,2434783,2437850,2441142,2441142,2441142,2441142
Switzerland,2253288,2294471,2331213,2364613,2364613,2364613,2433265,2460036,2489172,2515506,2537734,2537734,2537734,2586724,2607052,2628093,2628093,2664194,2664194,2664194,2696491,2711618,2730037,2747563,2765218,2765218,2765218,2801951
Syria,51483,51569,51656,51741,51826,51915,51915,52119,52243,52378,52504,52626,52751,52881,53011,53148,53278,53403,53527,53659,53784,53912,54040,54160,54275,54380,54480,54575
Taiwan*,18850,18903,18958,19029,19101,19144,19192,19239,19293,19376,19455,19515,19567,19621,19666,19732,19797,19864,19937,20007,20056,20100,20156,20236,20304,20373,20433,20489
Tajikistan,17716,17724,17729,17733,17733,17733,17745,17749,17753,17759,17765,17765,17765,17773,17780,17783,17783,17783,17783,17783,17786,17786,17786,17786,17786,17786,17786,17786
Tanzania,33230,33230,33230,33230,33230,33230,33230,33230,33436,33436,33436,33436,33436,33436,33549,33549,33549,33549,33549,33549,33549,33620,33620,33620,33620,33620,33620,33620
Thailand,2447964,2456551,2465723,2475632,2486122,2497001,2507471,2517869,2531051,2545873,2561115,2577445,2593327,2608227,2622600,2639062,2656411,2674477,2693362,2712315,2731198,2749561,2770793,2794350,2819282,2844897,2869616,2891927
