Country_Region,2022/01/01,2022/01/02,2022/01/03,2022/01/04,2022/01/05,2022/01/06,2022/01/07,2022/01/08,2022/01/09,2022/01/10,2022/01/11,2022/01/12,2022/01/13,2022/01/14,2022/01/15,2022/01/16,2022/01/17,2022/01/18,2022/01/19,2022/01/20,2022/01/21,2022/01/22,2022/01/23,2022/01/24,2022/01/25,2022/01/26,2022/01/27,2022/01/28,2022/01/29,2022/01/30,2022/01/31
Egypt,386358,387159,387882,388651,389454,390294,391115,391945,392857,393808,394740,395688,396699,397778,398879,400076,401308,402611,403990,405393,406926,408495,410098,411749,413558,415468,417453,419460,421478,423688,425911
El Salvador,121945,121945,122063,122063,122063,122063,122234,122234,122469,122628,122628,123025,123025,123577,123577,123577,123577,123577,123577,123577,127012,127012,127012,127012,127012,127012,127012,127012,133262,134155,135109
Equatorial Guinea,13710,13710,13710,13710,13876,13876,14401,14401,14401,14871,14871,14871,14871,15319,15319,15319,15492,15492,15558,15558,15558,15690,15690,15732,15732,15774,15774,15802,15802,15802,15802
Eritrea,8026,8049,8063,8128,8161,8211,8262,8303,8335,8419,8559,8653,8755,8845,8876,8910,9002,9085,9115,9160,9192,9250,9297,9332,9390,9408,9436,9489,9508,9525,9536
Estonia,242123,242552,243236,244733,246221,247863,249592,251239,252517,253775,255755,257958,260396,262482,264702,267095,269199,271500,274658,278498,282977,287757,291426,296466,301608,307451,313685,319505,326629,332580,337543
Eswatini,66241,66286,66441,66674,66873,67021,67171,67240,67294,67373,67492,67564,67676,67777,67830,67849,67878,67935,67975,68003,68047,68061,68081,68118,68164,68205,68239,68301,68329,68342,68367
Ethiopia,424340,426656,428796,432807,436586,440024,442187,443339,444124,446268,448728,450997,453128,454556,456279,457322,458203,459486,459959,460602,461252,461733,462107,462514,463047,463465,463921,464383,464754,464930,465158
Fiji,54147,54147,55009,55009,55649,55649,55649,57257,57257,57849,57849,58491,58491,58491,59418,59418,59785,59785,60509,60509,60931,60931,60931,61898,61968,62203,62203,62373,62373,62373,62855
Finland,277700,281702,286679,296204,306188,315915,323246,332270,338070,344711,355258,364470,373398,381673,389770,395472,401722,411849,421013,429525,437573,444869,449237,453833,461001,464394,470665,475431,475431,475431,489870
France,10296909,10355341,10422830,10694804,11027112,11290010,11618256,11921925,12218022,12311963,12680780,13042665,13351053,13680775,14005385,14283514,14386178,14851448,15288014,15715329,16116748,16506090,16807733,16917220,17420569,17848291,18241888,18596157,18928572,19178039,19266496
Gabon,41798,41798,42640,42640,42640,42640,43939,43939,43939,44409,44409,44806,44806,45152,45152,45152,45405,45405,45405,45663,45909,45909,45909,46198,46198,46469,46469,46722,46722,46722,46925
