Country_Region,2022/05/01,2022/05/02,2022/05/03,2022/05/04,2022/05/05,2022/05/06,2022/05/07,2022/05/08,2022/05/09,2022/05/10,2022/05/11,2022/05/12,2022/05/13,2022/05/14,2022/05/15,2022/05/16,2022/05/17,2022/05/18,2022/05/19,2022/05/20,2022/05/21,2022/05/22,2022/05/23,2022/05/24,2022/05/25,2022/05/26,2022/05/27,2022/05/28,2022/05/29,2022/05/30,2022/05/31
Gabon,47602,47602,47602,47602,47602,47602,47602,47602,47608,47608,47608,47608,47608,47608,47608,47608,47608,47608,47608,47608,47622,47622,47622,47622,47622,47622,47622,47622,47622,47650,47650
Gambia,11995,11995,11995,11995,11995,11995,11995,11995,11996,11996,11996,11996,11999,11999,11999,11999,11999,11999,11999,11999,11999,12002,11999,12002,12002,12002,12002,12002,12002,12002,12002
Georgia,1655170,1655221,1655221,1655221,1655221,1655221,1655221,1655221,1655221,1655221,1655966,1655966,1655966,1655966,1655966,1655966,1655966,1656568,1656568,1656568,1656568,1656568,1656568,1656568,1657154,1657154,1657154,1657154,1657154,1657154,1657154
Germany,24710769,24813817,24927339,25033970,25130137,25215210,25215210,25215210,25299300,25406868,25503878,25592839,25661838,25661838,25661838,25732153,25818405,25890456,25949175,25998085,25998085,25998085,26045528,26109965,26159106,26159106,26200663,26244107,26244107,26244107,26305996
Ghana,161204,161204,161216,161216,161222,161222,161222,161222,161269,161271,161271,161280,161280,161280,161280,161310,161325,161325,161325,161325,161325,161370,161351,161370,161370,161370,161370,161370,161370,161370,161370
Greece,3328623,3331288,3335550,3343565,3348756,3353886,3358584,3361779,3364598,3371051,3375812,3380594,3384982,3389306,3392575,3395641,3401927,3406553,3410481,3414189,3417613,3431998,3422233,3427857,3431998,3436046,3439773,3442963,3445538,3447938,3453229
Grenada,14743,14743,14743,14984,15138,15303,15483,15483,15483,15818,16014,16191,16344,16344,16512,16512,16784,16918,17061,17146,17146,17482,17234,17390,17482,17556,17612,17662,17662,17662,17750
Guatemala,846611,846632,846785,847491,848098,848807,849417,849495,849552,850255,850255,851215,851877,852432,852503,852591,853280,854074,854891,855802,856376,858015,856576,857197,858015,858629,859311,860006,860098,860169,861002
Guinea,36549,36549,36549,36549,36549,36549,36549,36549,36549,36549,36549,36597,36597,36597,36597,36597,36661,36661,36661,36661,36661,36661,36661,36661,36661,36661,36661,36661,36661,36764,36764
Guinea-Bissau,8202,8202,8202,8210,8213,8213,8213,8213,8215,8215,8215,8215,8216,8222,8222,8222,8222,8240,8240,8242,8246,8259,8246,8259,8259,8260,8260,8260,8260,8260,8269
Guyana,63482,63484,63491,63518,63533,63533,63570,63583,63586,63586,63684,63736,63772,63804,63849,63861,63926,64020,64082,64174,64228,64435,64297,64342,64435,64492,64521,64521,64617,64628,64763
