Country_Region,2021/01/01,2021/01/02,2021/01/03,2022/01/01,2022/01/02,2022/01/03,2023/01/01,2023/01/02
Ireland,93532,96926,101887,811840,811840,845897,1687668,1687668
Israel,428510,434799,441542,1390053,1395113,1404916,4764432,4765806
Italy,2129376,2141201,2155446,6266939,6328076,6396110,25143705,25143705
Jamaica,12915,12931,13049,94649,95177,95946,152758,152758
Japan,239005,242076,245242,1733835,1734463,1735244,29321601,29397865
Jordan,295765,296668,298208,1064277,1065571,1067253,1746997,1746997
Kazakhstan,202060,202880,203563,1072999,1072999,1073786,1488306,1488306
Kenya,96614,96678,96802,297155,298509,299732,342507,342511
Kiribati,0,0,0,2,2,2,3430,3430
"Korea, North",0,0,0,0,0,0,1,1
"Korea, South",62593,63244,64264,639083,642207,645226,29139535,29220591
Kosovo,51502,51502,51965,161531,161560,161598,272286,272287
Kuwait,150869,151074,151343,417723,418332,419314,662747,662747
Kyrgyzstan,81156,81214,81388,184748,184786,184827,206557,206557
Laos,41,41,41,112083,112767,113432,217797,217805
Latvia,41615,41929,42497,276841,277021,277692,973830,974046
Lebanon,183888,186408,189278,731288,732733,735727,1222515,1222912
Lesotho,3206,3206,3206,29652,29756,29999,34490,34490
Liberia,1800,1800,1800,6278,6278,6278,8043,8043
Libya,100744,100744,101414,388734,389650,390284,507142,507142
Liechtenstein,2245,2259,2282,6167,6208,6236,21276,21276
Lithuania,147862,149105,150529,526628,527906,529212,1288438,1288481
Luxembourg,46415,46415,46415,103766,103766,105358,311746,311746
MS Zaandam,9,9,9,9,9,9,9,9
Madagascar,17714,17767,17767,50279,50279,50279,67735,67735
Malawi,6684,6712,6844,75828,76066,76295,88220,88220
Malaysia,115078,117373,119077,2761472,2764354,2767044,5027097,5027457
Maldives,13804,13834,13867,95891,96052,96294,185678,185678
Mali,7203,7226,7253,21378,21549,21806,32770,32770
Malta,12909,12997,13082,53503,54250,55062,116414,116436
Marshall Islands,4,4,4,4,4,4,15547,15554
Mauritania,14581,14677,14794,41867,42182,42672,63425,63425
Mauritius,527,527,527,68552,68612,68661,289980,289980
Mexico,1437185,1443544,1448755,3988916,3990587,3993464,7234467,7234467
Micronesia,,,,1,1,1,22203,22203
Moldova,145258,145694,145873,376434,376602,376844,596550,596550
Monaco,885,901,907,4985,4985,4985,15948,15948
Mongolia,1220,1242,1263,693119,693546,693849,1007266,1007266
Montenegro,48589,48856,49195,171873,173161,174865,284756,284795
Morocco,440970,442141,443146,965420,966777,967662,1271610,1271616
Mozambique,18794,18968,19309,191722,192453,193371,230970,230970
Namibia,24545,24654,25116,148839,149478,149741,170295,170295
Nauru,0,0,0,0,0,0,4621,4621
Nepal,261019,261438,261859,828773,828986,829277,1001002,1001003
Netherlands,816616,825249,832702,3200168,3218604,3234143,8681537,8681537
New Zealand,2162,2181,2181,14257,14308,14367,2101244,2101288
Nicaragua,4829,4829,4829,13563,13563,13563,15365,15365
Niger,3403,3437,3465,7438,7438,7508,9473,9473
Nigeria,88587,89163,90080,242877,242877,244120,266381,266450
North Macedonia,83743,83789,84024,225484,225730,225972,345603,345603
Norway,49803,50266,50716,396415,399318,404551,1475148,1475396
Oman,128867,128867,129404,305489,305832,306008,399154,399154
Pakistan,484362,486634,488529,1296527,1297235,1297865,1575817,1575817
Palau,0,0,0,12,13,13,5971,5971
Panama,249733,251764,253736,497808,498785,500148,1023778,1023778
Papua New Guinea,780,780,799,36158,36190,36192,46663,46663
Paraguay,108349,108718,109073,466101,466101,469523,792215,792215
Peru,1015137,1015137,1018099,2301177,2302678,2304674,4458643,4460100
Philippines,475820,476916,477807,2847486,2851931,2855819,4064779,4065173
Poland,1305774,1312780,1318562,4120248,4127428,4133851,6368632,6368749
Portugal,420629,423870,427254,1412936,1424016,1434570,5554058,5554058
Qatar,144042,144240,144437,251361,252359,253536,489576,489792
Romania,636201,637395,640429,1810342,1811300,1813056,3308480,3312085
Russia,3153960,3179898,3203743,10340011,10358099,10374292,21495511,21499362
Rwanda,8460,8567,8676,112654,113582,114580,132920,132920
Saint Kitts and Nevis,32,33,33,3043,3193,3252,6562,6562
Saint Lucia,353,353,353,13640,13732,13816,29741,29741
Saint Vincent and the Grenadines,121,122,124,5850,5952,5991,9538,9538
Samoa,2,2,2,3,3,3,15982,15982
San Marino,2384,2428,2463,8202,8202,8487,23008,23176
