Country_Region,2022/04/01,2022/04/02,2022/04/03,2022/04/04,2022/04/05,2022/04/06,2022/04/07,2022/04/08,2022/04/09,2022/04/10,2022/04/11,2022/04/12,2022/04/13,2022/04/14,2022/04/15,2022/04/16,2022/04/17,2022/04/18,2022/04/19,2022/04/20,2022/04/21,2022/04/22,2022/04/23,2022/04/24,2022/04/25,2022/04/26,2022/04/27,2022/04/28,2022/04/29,2022/04/30
Guinea,36459,36459,36459,36459,36459,36459,36459,36459,36459,36459,36459,36459,36502,36502,36502,36502,36502,36502,36540,36540,36540,36540,36540,36540,36540,36540,36540,36549,36549,36549
Guinea-Bissau,8149,8151,8151,8151,8151,8152,8172,8172,8172,8173,8173,8175,8175,8176,8176,8176,8178,8178,8182,8184,8185,8185,8185,8185,8186,8186,8186,8190,8202,8202
Guyana,63258,63267,63272,63273,63283,63294,63305,63310,63315,63326,63326,63340,63340,63358,63364,63368,63368,63371,63380,63389,63399,63407,63413,63416,63420,63420,63447,63457,63457,63473
Haiti,30567,30571,30575,30575,30576,30578,30578,30585,30586,30586,30587,30594,30610,30612,30615,30623,30640,30643,30648,30649,30650,30655,30659,30659,30690,30690,30697,30699,30702,30703
Holy See,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
Honduras,421062,421062,421062,421121,421121,421170,421268,421268,421268,421268,421268,421268,421268,421268,421268,421268,421268,421659,422239,422275,422275,422275,422275,422275,422469,422545,423179,423179,423179,423179
Hungary,1854198,1854198,1854198,1854198,1860159,1863039,1865607,1868007,1868007,1868007,1872664,1874206,1876946,1879480,1879480,1879480,1879480,1879480,1884458,1885865,1888906,1890953,1890953,1890953,1894278,1895677,1897897,1899633,1901017,1901017
Iceland,181830,181830,181830,181830,182633,182633,182633,183363,183363,183363,183363,183974,183974,183974,183974,183974,183974,183974,183701,183701,183701,185074,185074,185074,185074,185353,185353,185353,185579,185579
India,43027035,43028131,43029044,43029839,43030925,43031958,43033067,43034217,43035271,43036132,43036928,43038016,43039023,43039972,43040947,43042097,43044280,43045527,43047594,43049974,43052425,43054952,43057545,43060086,43060097,43065496,43068799,43072176,43075864,43079188
Indonesia,6015748,6015748,6015748,6015748,6023924,6026324,6028413,6030168,6031636,6032707,6033903,6035358,6036909,6037742,6038664,6039266,6039873,6040432,6041269,6041269,6042595,6043246,6043768,6044150,6044467,6045043,6045660,6046072,6046467,6046796
Iran,7164484,7166371,7167646,7171165,7175780,7180008,7183808,7186992,7188749,7191643,7194768,7197505,7199861,7202055,7204049,7205064,7206959,7208968,7210788,7212395,7213808,7214904,7215512,7216040,7217117,7218424,7219433,7220402,7221121,7221653
Iraq,2319908,2320126,2320260,2320526,2320806,2321095,2321369,2321630,2321781,2321874,2322081,2322303,2322303,2322734,2322938,2323040,2323132,2323284,2323508,2323707,2323878,2324031,2324141,2324223,2324384,2324531,2324699,2324847,2324982,2325092
Ireland,1465150,1465150,1465150,1474374,1477112,1481171,1484321,1487164,1487164,1487164,1493066,1494814,1496910,1498834,1498834,1498834,1498834,1498834,1505568,1506963,1508373,1509536,1509536,1509536,1512812,1514035,1515005,1516153,1517112,1517112
Israel,3926812,3935094,3946288,3957492,3967733,3974774,3982524,3987827,3993515,3997856,4006847,4013193,4016912,4022685,4025943,4029066,4031754,4036677,4040937,4044987,4047686,4047686,4054335,4057765,4062271,4066014,4067680,4071484,4074112,4076104
Italy,14719394,14790806,14845815,14877144,14966058,15035943,15106066,15173707,15238128,15292048,15320753,15404809,15467395,15533012,15595302,15659835,15712088,15730676,15758002,15858442,15934437,16008181,16079209,16136057,16161339,16191323,16279754,16349788,16409183,16463200
Jamaica,128786,128811,128811,128869,128869,128924,128950,128972,128972,128972,129050,129093,129108,129133,129168,129203,129238,129281,129312,129347,129373,129441,129489,129489,129632,129681,129747,129862,129978,129978
